drug,condition,text,rating,date,helpful_votes,clean_text,word_count,detected_ades,meddra_categories,ade_count,ade_severities
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I actually have more energy now. Blood sugar is down, though the nausea restricts my life. I finally have much better blood sugar control.",9,08-Jan-24,10,experience actually energy blood sugar though nausea restricts life finally much better blood sugar control,15,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"Honestly, The nausea is overwhelming. I've been dealing with frequent vomiting. I have constant fatigue.",1,11-Oct-22,22,honestly nausea overwhelming dealing frequent vomiting constant fatigue,8,"nausea, fatigue, vomiting","General disorders, Gastrointestinal disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,I'm noticing significant hair loss. I have major pancreatitis concerns now. There is terrible injection site pain. The nausea is overwhelming.,1,21-Nov-23,41,noticing significant hair loss major pancreatitis concerns terrible injection site pain nausea overwhelming,13,"nausea, hair loss, injection site, pancreatitis","General disorders, Gastrointestinal disorders, Skin disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,Severe constipation that won't go away. There is terrible injection site pain. I'm noticing significant hair loss.,1,16-Oct-24,44,severe constipation go away terrible injection site pain noticing significant hair loss,12,"injection site, constipation, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, My A1C points dropped tremendously. I lose weight, but I'm always tired. Dealing with symptoms of gastroparesis. The medication is effective, but side effects are barely manageable.",6,25-Apr-23,87,experience a1c points dropped tremendously lose weight always tired dealing symptoms gastroparesis medication effective side effects barely manageable,18,tired,General disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,The best medication I have ever taken. My appetite is so much reduced. This drug changed my life completely.,10,30-Dec-24,76,best medication ever taken appetite much reduced drug changed life completely,11,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,Dealing with symptoms of gastroparesis. There is terrible injection site pain.,1,03-Jan-23,6,dealing symptoms gastroparesis terrible injection site pain,7,injection site,General disorders,1,SEVERE
Ozempic (Synthetic),Weight Management,I have major pancreatitis concerns now. I've been dealing with frequent vomiting. I have constant fatigue.,1,02-Feb-22,100,major pancreatitis concerns dealing frequent vomiting constant fatigue,8,"fatigue, vomiting, pancreatitis","General disorders, Gastrointestinal disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"The medication is effective, but side effects are barely manageable.",5,29-Jan-22,127,medication effective side effects barely manageable,6,,,0,
Ozempic (Synthetic),Type 2 Diabetes,I'm noticing significant hair loss. I have major pancreatitis concerns now. Dealing with symptoms of gastroparesis.,1,01-Mar-24,38,noticing significant hair loss major pancreatitis concerns dealing symptoms gastroparesis,10,"hair loss, pancreatitis","Gastrointestinal disorders, Skin disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"Blood sugar is down, though the nausea restricts my life. I've experienced significant weight loss. The medication is effective, but side effects are barely manageable. My appetite is so much reduced.",8,14-Jun-24,67,blood sugar though nausea restricts life experienced significant weight loss medication effective side effects barely manageable appetite much reduced,19,"nausea, weight loss, blood sugar, appetite","Gastrointestinal disorders, Metabolism disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,Horrible diarrhea nearly every day. I have constant fatigue. I've been dealing with frequent vomiting. Dealing with symptoms of gastroparesis.,1,09-Jun-24,24,horrible diarrhea nearly every day constant fatigue dealing frequent vomiting dealing symptoms gastroparesis,13,"fatigue, vomiting, diarrhea","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, My A1C points dropped tremendously. It gets the job done, but I feel horrible on injection day. I actually have more energy now. I've experienced significant weight loss.",8,21-Sep-22,132,experience a1c points dropped tremendously gets job done feel horrible injection day actually energy experienced significant weight loss,18,weight loss,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Weight Management,"Blood sugar is down, though the nausea restricts my life. I'm noticing significant hair loss.",1,18-Jul-22,60,blood sugar though nausea restricts life noticing significant hair loss,10,"nausea, hair loss, blood sugar","Gastrointestinal disorders, Skin disorders, Metabolism disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"I've experienced significant weight loss. This drug changed my life completely. It gets the job done, but I feel horrible on injection day. I finally have much better blood sugar control. My A1C points dropped tremendously.",10,02-Feb-24,18,experienced significant weight loss drug changed life completely gets job done feel horrible injection day finally much better blood sugar control a1c points dropped tremendously,25,"weight loss, blood sugar",Metabolism disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, The best medication I have ever taken. My appetite is so much reduced. The medication is effective, but side effects are barely manageable. This drug changed my life completely. I've experienced significant weight loss.",9,20-May-22,80,experience best medication ever taken appetite much reduced medication effective side effects barely manageable drug changed life completely experienced significant weight loss,22,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"Honestly, Horrible diarrhea nearly every day. The nausea is overwhelming.",2,21-May-22,50,honestly horrible diarrhea nearly every day nausea overwhelming,8,"nausea, diarrhea",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"Honestly, The best medication I have ever taken. My appetite is so much reduced. I've experienced significant weight loss.",9,17-Sep-23,129,honestly best medication ever taken appetite much reduced experienced significant weight loss,12,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,I have major pancreatitis concerns now. I'm noticing significant hair loss. The nausea is overwhelming.,2,26-Sep-23,76,major pancreatitis concerns noticing significant hair loss nausea overwhelming,9,"nausea, hair loss, pancreatitis","Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"I have constant fatigue. Blood sugar is down, though the nausea restricts my life. I've been dealing with frequent vomiting. Severe constipation that won't go away.",2,05-Jun-23,67,constant fatigue blood sugar though nausea restricts life dealing frequent vomiting severe constipation go away,15,"vomiting, nausea, blood sugar, constipation, fatigue","General disorders, Gastrointestinal disorders, Metabolism disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"Blood sugar is down, though the nausea restricts my life. I actually have more energy now. It gets the job done, but I feel horrible on injection day. I've experienced significant weight loss. I finally have much better blood sugar control.",8,01-May-22,0,blood sugar though nausea restricts life actually energy gets job done feel horrible injection day experienced significant weight loss finally much better blood sugar control,25,"nausea, weight loss, blood sugar","Gastrointestinal disorders, Metabolism disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"Horrible diarrhea nearly every day. I'm noticing significant hair loss. I have constant fatigue. The medication is effective, but side effects are barely manageable.",2,29-May-24,114,horrible diarrhea nearly every day noticing significant hair loss constant fatigue medication effective side effects barely manageable,17,"fatigue, hair loss, diarrhea","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,My A1C points dropped tremendously. I actually have more energy now. The best medication I have ever taken.,8,19-Jan-24,33,a1c points dropped tremendously actually energy best medication ever taken,10,,,0,
Ozempic (Synthetic),Obesity,"My A1C points dropped tremendously. This drug changed my life completely. It gets the job done, but I feel horrible on injection day.",9,26-Dec-22,38,a1c points dropped tremendously drug changed life completely gets job done feel horrible injection day,15,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, I actually have more energy now. This drug changed my life completely.",9,06-Aug-24,19,honestly actually energy drug changed life completely,7,,,0,
Ozempic (Synthetic),Weight Management,My A1C points dropped tremendously. This drug changed my life completely. I've experienced significant weight loss. My appetite is so much reduced.,8,07-Nov-22,68,a1c points dropped tremendously drug changed life completely experienced significant weight loss appetite much reduced,15,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, Blood sugar is down, though the nausea restricts my life. It works really well, but it's incredibly expensive.",6,13-Nov-23,76,clear blood sugar though nausea restricts life works really well incredibly expensive,12,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"To be clear, Blood sugar is down, though the nausea restricts my life. I'm noticing significant hair loss. There is terrible injection site pain.",2,11-Apr-23,66,clear blood sugar though nausea restricts life noticing significant hair loss terrible injection site pain,15,"nausea, blood sugar, hair loss, injection site","General disorders, Gastrointestinal disorders, Skin disorders, Metabolism disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, My A1C points dropped tremendously. The best medication I have ever taken. This drug changed my life completely.",9,02-Nov-23,14,experience a1c points dropped tremendously best medication ever taken drug changed life completely,13,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I actually have more energy now. I've experienced significant weight loss.",8,05-Jan-22,97,experience actually energy experienced significant weight loss,7,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Obesity,"In my experience, I have constant fatigue. I have major pancreatitis concerns now. I've been dealing with frequent vomiting.",3,18-Apr-24,84,experience constant fatigue major pancreatitis concerns dealing frequent vomiting,9,"fatigue, vomiting, pancreatitis","General disorders, Gastrointestinal disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Obesity,"To be clear, My A1C points dropped tremendously. I've experienced significant weight loss. It gets the job done, but I feel horrible on injection day.",10,30-Jun-23,127,clear a1c points dropped tremendously experienced significant weight loss gets job done feel horrible injection day,16,weight loss,Metabolism disorders,1,SEVERE
Ozempic (Synthetic),Weight Management,"Honestly, There is terrible injection site pain. Dealing with symptoms of gastroparesis. I have constant fatigue. The medication is effective, but side effects are barely manageable. The nausea is overwhelming.",3,07-Mar-23,40,honestly terrible injection site pain dealing symptoms gastroparesis constant fatigue medication effective side effects barely manageable nausea overwhelming,18,"nausea, fatigue, injection site","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,I actually have more energy now. My appetite is so much reduced. I finally have much better blood sugar control.,9,08-Sep-23,16,actually energy appetite much reduced finally much better blood sugar control,11,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Weight Management,"Honestly, I've experienced significant weight loss. It works really well, but it's incredibly expensive. The best medication I have ever taken. I lose weight, but I'm always tired. Blood sugar is down, though the nausea restricts my life.",7,08-Feb-23,76,honestly experienced significant weight loss works really well incredibly expensive best medication ever taken lose weight always tired blood sugar though nausea restricts life,24,"nausea, weight loss, tired, blood sugar","General disorders, Gastrointestinal disorders, Metabolism disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, I finally have much better blood sugar control. My A1C points dropped tremendously.",8,03-Apr-22,8,clear finally much better blood sugar control a1c points dropped tremendously,11,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,I've been dealing with frequent vomiting. The nausea is overwhelming.,1,11-Jul-23,66,dealing frequent vomiting nausea overwhelming,5,"nausea, vomiting",Gastrointestinal disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, My appetite is so much reduced. This drug changed my life completely. The best medication I have ever taken. Blood sugar is down, though the nausea restricts my life. It works really well, but it's incredibly expensive.",10,17-May-23,72,clear appetite much reduced drug changed life completely best medication ever taken blood sugar though nausea restricts life works really well incredibly expensive,23,"nausea, appetite, blood sugar","Gastrointestinal disorders, Metabolism disorders",3,"MILD, MILD, MILD"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, I actually have more energy now. I've experienced significant weight loss.",9,26-Dec-23,23,honestly actually energy experienced significant weight loss,7,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Weight Management,"Honestly, Horrible diarrhea nearly every day. There is terrible injection site pain.",1,21-Aug-22,100,honestly horrible diarrhea nearly every day terrible injection site pain,10,"injection site, diarrhea","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"The medication is effective, but side effects are barely manageable. I have major pancreatitis concerns now. Dealing with symptoms of gastroparesis. The nausea is overwhelming.",3,19-Feb-23,109,medication effective side effects barely manageable major pancreatitis concerns dealing symptoms gastroparesis nausea overwhelming,14,"nausea, pancreatitis",Gastrointestinal disorders,2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"To be clear, Blood sugar is down, though the nausea restricts my life. There is terrible injection site pain. It works really well, but it's incredibly expensive.",7,02-Jun-23,36,clear blood sugar though nausea restricts life terrible injection site pain works really well incredibly expensive,16,"nausea, injection site, blood sugar","General disorders, Gastrointestinal disorders, Metabolism disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, I lose weight, but I'm always tired. The medication is effective, but side effects are barely manageable.",4,19-Jan-24,11,experience lose weight always tired medication effective side effects barely manageable,11,tired,General disorders,1,MILD
Ozempic (Synthetic),Weight Management,"To be clear, I'm noticing significant hair loss. Severe constipation that won't go away. There is terrible injection site pain. It works really well, but it's incredibly expensive.",1,27-Nov-22,23,clear noticing significant hair loss severe constipation go away terrible injection site pain works really well incredibly expensive,18,"injection site, constipation, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"To be clear, I've experienced significant weight loss. Horrible diarrhea nearly every day. It gets the job done, but I feel horrible on injection day. It works really well, but it's incredibly expensive.",6,30-Sep-23,4,clear experienced significant weight loss horrible diarrhea nearly every day gets job done feel horrible injection day works really well incredibly expensive,22,"weight loss, diarrhea","Gastrointestinal disorders, Metabolism disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,My appetite is so much reduced. I've experienced significant weight loss. I actually have more energy now. The best medication I have ever taken.,9,02-Jun-22,135,appetite much reduced experienced significant weight loss actually energy best medication ever taken,13,"weight loss, appetite",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, My A1C points dropped tremendously. This drug changed my life completely. I finally have much better blood sugar control.",10,20-May-23,64,clear a1c points dropped tremendously drug changed life completely finally much better blood sugar control,15,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,"Horrible diarrhea nearly every day. I have constant fatigue. I have major pancreatitis concerns now. The nausea is overwhelming. I lose weight, but I'm always tired.",2,25-Jul-24,61,horrible diarrhea nearly every day constant fatigue major pancreatitis concerns nausea overwhelming lose weight always tired,16,"tired, pancreatitis, nausea, fatigue, diarrhea","General disorders, Gastrointestinal disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"Honestly, It works really well, but it's incredibly expensive. The medication is effective, but side effects are barely manageable. I lose weight, but I'm always tired. I actually have more energy now. It gets the job done, but I feel horrible on injection day.",4,23-Oct-22,148,honestly works really well incredibly expensive medication effective side effects barely manageable lose weight always tired actually energy gets job done feel horrible injection day,25,tired,General disorders,1,SEVERE
Ozempic (Synthetic),Obesity,"I finally have much better blood sugar control. Blood sugar is down, though the nausea restricts my life.",10,21-Feb-23,102,finally much better blood sugar control blood sugar though nausea restricts life,12,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Weight Management,"In my experience, I've been dealing with frequent vomiting. I have constant fatigue. Horrible diarrhea nearly every day. The medication is effective, but side effects are barely manageable.",4,16-Aug-22,115,experience dealing frequent vomiting constant fatigue horrible diarrhea nearly every day medication effective side effects barely manageable,17,"fatigue, vomiting, diarrhea","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"To be clear, I have constant fatigue. The nausea is overwhelming. I've been dealing with frequent vomiting. I have major pancreatitis concerns now. Blood sugar is down, though the nausea restricts my life.",3,22-Jan-24,6,clear constant fatigue nausea overwhelming dealing frequent vomiting major pancreatitis concerns blood sugar though nausea restricts life,17,"vomiting, pancreatitis, nausea, blood sugar, fatigue","General disorders, Gastrointestinal disorders, Metabolism disorders",5,"MODERATE, MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,I've experienced significant weight loss. I actually have more energy now.,10,16-Aug-22,137,experienced significant weight loss actually energy,6,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Weight Management,"To be clear, There is terrible injection site pain. I lose weight, but I'm always tired. Dealing with symptoms of gastroparesis. I have constant fatigue. I'm noticing significant hair loss.",2,01-Aug-24,59,clear terrible injection site pain lose weight always tired dealing symptoms gastroparesis constant fatigue noticing significant hair loss,18,"injection site, fatigue, hair loss, tired","General disorders, Skin disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, The medication is effective, but side effects are barely manageable. Severe constipation that won't go away. It works really well, but it's incredibly expensive.",2,22-May-22,114,experience medication effective side effects barely manageable severe constipation go away works really well incredibly expensive,16,constipation,Gastrointestinal disorders,1,SEVERE
Ozempic (Synthetic),Weight Management,"Honestly, My appetite is so much reduced. I lose weight, but I'm always tired.",10,09-Aug-23,121,honestly appetite much reduced lose weight always tired,8,"appetite, tired","General disorders, Metabolism disorders",2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,I finally have much better blood sugar control. My A1C points dropped tremendously.,9,26-Jul-22,30,finally much better blood sugar control a1c points dropped tremendously,10,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"My A1C points dropped tremendously. The medication is effective, but side effects are barely manageable. My appetite is so much reduced.",9,12-May-24,56,a1c points dropped tremendously medication effective side effects barely manageable appetite much reduced,13,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"Blood sugar is down, though the nausea restricts my life. I have major pancreatitis concerns now. My appetite is so much reduced.",6,04-Jan-23,14,blood sugar though nausea restricts life major pancreatitis concerns appetite much reduced,12,"nausea, appetite, blood sugar, pancreatitis","Gastrointestinal disorders, Metabolism disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"In my experience, I finally have much better blood sugar control. I actually have more energy now. My appetite is so much reduced.",8,20-May-22,88,experience finally much better blood sugar control actually energy appetite much reduced,12,"appetite, blood sugar",Metabolism disorders,2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"To be clear, I have major pancreatitis concerns now. I'm noticing significant hair loss. Blood sugar is down, though the nausea restricts my life.",3,10-Nov-23,57,clear major pancreatitis concerns noticing significant hair loss blood sugar though nausea restricts life,14,"nausea, hair loss, blood sugar, pancreatitis","Gastrointestinal disorders, Skin disorders, Metabolism disorders",4,"MODERATE, MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,Horrible diarrhea nearly every day. I'm noticing significant hair loss.,3,13-Feb-22,120,horrible diarrhea nearly every day noticing significant hair loss,9,"hair loss, diarrhea","Gastrointestinal disorders, Skin disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"I'm noticing significant hair loss. It gets the job done, but I feel horrible on injection day. I have constant fatigue. Severe constipation that won't go away.",2,20-Jan-24,59,noticing significant hair loss gets job done feel horrible injection day constant fatigue severe constipation go away,17,"fatigue, constipation, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"I have constant fatigue. Dealing with symptoms of gastroparesis. Blood sugar is down, though the nausea restricts my life. It gets the job done, but I feel horrible on injection day.",7,26-Sep-22,124,constant fatigue dealing symptoms gastroparesis blood sugar though nausea restricts life gets job done feel horrible injection day,18,"nausea, fatigue, blood sugar","General disorders, Gastrointestinal disorders, Metabolism disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"Honestly, I lose weight, but I'm always tired. This drug changed my life completely.",5,22-Jul-24,118,honestly lose weight always tired drug changed life completely,9,tired,General disorders,1,MODERATE
Ozempic (Synthetic),Type 2 Diabetes,I've experienced significant weight loss. This drug changed my life completely.,8,15-May-24,37,experienced significant weight loss drug changed life completely,8,weight loss,Metabolism disorders,1,MODERATE
Ozempic (Synthetic),Type 2 Diabetes,My appetite is so much reduced. The best medication I have ever taken. My A1C points dropped tremendously.,10,23-Jan-23,35,appetite much reduced best medication ever taken a1c points dropped tremendously,11,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Weight Management,This drug changed my life completely. I actually have more energy now.,8,03-Mar-23,14,drug changed life completely actually energy,6,,,0,
Ozempic (Synthetic),Type 2 Diabetes,This drug changed my life completely. The best medication I have ever taken.,8,25-Apr-24,68,drug changed life completely best medication ever taken,8,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, Dealing with symptoms of gastroparesis. Severe constipation that won't go away. I've been dealing with frequent vomiting.",1,15-Sep-22,107,clear dealing symptoms gastroparesis severe constipation go away dealing frequent vomiting,11,"vomiting, constipation",Gastrointestinal disorders,2,"SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, I'm noticing significant hair loss. It works really well, but it's incredibly expensive. There is terrible injection site pain. The medication is effective, but side effects are barely manageable. Severe constipation that won't go away.",1,28-Oct-22,129,experience noticing significant hair loss works really well incredibly expensive terrible injection site pain medication effective side effects barely manageable severe constipation go away,24,"injection site, constipation, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"In my experience, I actually have more energy now. I finally have much better blood sugar control. The best medication I have ever taken. Blood sugar is down, though the nausea restricts my life.",8,09-May-22,61,experience actually energy finally much better blood sugar control best medication ever taken blood sugar though nausea restricts life,19,"nausea, blood sugar","Gastrointestinal disorders, Metabolism disorders",2,"MILD, MILD"
Ozempic (Synthetic),Obesity,"The medication is effective, but side effects are barely manageable. There is terrible injection site pain. The nausea is overwhelming.",3,16-Oct-24,10,medication effective side effects barely manageable terrible injection site pain nausea overwhelming,12,"nausea, injection site","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, I'm noticing significant hair loss. The nausea is overwhelming. I have major pancreatitis concerns now.",1,08-Sep-23,140,honestly noticing significant hair loss nausea overwhelming major pancreatitis concerns,10,"nausea, hair loss, pancreatitis","Gastrointestinal disorders, Skin disorders",3,"MODERATE, MODERATE, MODERATE"
Ozempic (Synthetic),Type 2 Diabetes,I have major pancreatitis concerns now. I've been dealing with frequent vomiting. Severe constipation that won't go away. The nausea is overwhelming.,1,01-May-24,97,major pancreatitis concerns dealing frequent vomiting severe constipation go away nausea overwhelming,12,"nausea, vomiting, pancreatitis, constipation",Gastrointestinal disorders,4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, This drug changed my life completely. My A1C points dropped tremendously. My appetite is so much reduced. The best medication I have ever taken.",10,22-Apr-24,109,clear drug changed life completely a1c points dropped tremendously appetite much reduced best medication ever taken,16,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"In my experience, The best medication I have ever taken. This drug changed my life completely.",10,22-Mar-24,106,experience best medication ever taken drug changed life completely,9,,,0,
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, Dealing with symptoms of gastroparesis. The nausea is overwhelming. I have major pancreatitis concerns now. Horrible diarrhea nearly every day.",1,30-Dec-22,123,honestly dealing symptoms gastroparesis nausea overwhelming major pancreatitis concerns horrible diarrhea nearly every day,14,"nausea, pancreatitis, diarrhea",Gastrointestinal disorders,3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,There is terrible injection site pain. I have major pancreatitis concerns now.,2,10-May-24,55,terrible injection site pain major pancreatitis concerns,7,"injection site, pancreatitis","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,"To be clear, This drug changed my life completely. The best medication I have ever taken. My A1C points dropped tremendously.",10,12-Oct-22,15,clear drug changed life completely best medication ever taken a1c points dropped tremendously,13,,,0,
Ozempic (Synthetic),Obesity,"I have major pancreatitis concerns now. I lose weight, but I'm always tired. Horrible diarrhea nearly every day.",2,21-Feb-22,118,major pancreatitis concerns lose weight always tired horrible diarrhea nearly every day,12,"tired, pancreatitis, diarrhea","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"In my experience, I have major pancreatitis concerns now. There is terrible injection site pain. It gets the job done, but I feel horrible on injection day.",3,11-Mar-24,150,experience major pancreatitis concerns terrible injection site pain gets job done feel horrible injection day,15,"injection site, pancreatitis","General disorders, Gastrointestinal disorders",2,"SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"In my experience, I'm noticing significant hair loss. Dealing with symptoms of gastroparesis. I've been dealing with frequent vomiting. There is terrible injection site pain.",1,05-Oct-23,145,experience noticing significant hair loss dealing symptoms gastroparesis dealing frequent vomiting terrible injection site pain,15,"injection site, vomiting, hair loss","General disorders, Gastrointestinal disorders, Skin disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Type 2 Diabetes,"To be clear, I've experienced significant weight loss. I finally have much better blood sugar control. I actually have more energy now. The best medication I have ever taken.",10,17-Sep-22,32,clear experienced significant weight loss finally much better blood sugar control actually energy best medication ever taken,17,"weight loss, blood sugar",Metabolism disorders,2,"MODERATE, MODERATE"
Ozempic (Synthetic),Weight Management,"Honestly, I've been dealing with frequent vomiting. I have constant fatigue. I'm noticing significant hair loss. Severe constipation that won't go away.",2,11-Jul-24,129,honestly dealing frequent vomiting constant fatigue noticing significant hair loss severe constipation go away,14,"fatigue, vomiting, hair loss, constipation","General disorders, Gastrointestinal disorders, Skin disorders",4,"SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"Honestly, Severe constipation that won't go away. I've been dealing with frequent vomiting. There is terrible injection site pain. I have constant fatigue. I have major pancreatitis concerns now.",3,19-Jun-22,62,honestly severe constipation go away dealing frequent vomiting terrible injection site pain constant fatigue major pancreatitis concerns,17,"vomiting, pancreatitis, injection site, constipation, fatigue","General disorders, Gastrointestinal disorders",5,"SEVERE, SEVERE, SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Obesity,"Honestly, This drug changed my life completely. I actually have more energy now. The best medication I have ever taken. I finally have much better blood sugar control.",8,07-Aug-23,55,honestly drug changed life completely actually energy best medication ever taken finally much better blood sugar control,17,blood sugar,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,"Honestly, My appetite is so much reduced. This drug changed my life completely.",8,29-Mar-23,27,honestly appetite much reduced drug changed life completely,8,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Obesity,"To be clear, It works really well, but it's incredibly expensive. My appetite is so much reduced.",9,16-Oct-23,82,clear works really well incredibly expensive appetite much reduced,9,appetite,Metabolism disorders,1,MILD
Ozempic (Synthetic),Type 2 Diabetes,I have major pancreatitis concerns now. There is terrible injection site pain. Horrible diarrhea nearly every day.,1,20-Sep-24,117,major pancreatitis concerns terrible injection site pain horrible diarrhea nearly every day,12,"injection site, pancreatitis, diarrhea","General disorders, Gastrointestinal disorders",3,"SEVERE, SEVERE, SEVERE"
Ozempic (Synthetic),Weight Management,I've experienced significant weight loss. My A1C points dropped tremendously. This drug changed my life completely.,8,14-Oct-23,102,experienced significant weight loss a1c points dropped tremendously drug changed life completely,12,weight loss,Metabolism disorders,1,MODERATE
